LSOA code,local authority name,local authority code,All households,One person Aged 66+,One person Aged up to 65,Family: all aged 66+,Married or civil partnership couple: No children,Married or civil partnership couple: Dependent children,Married or civil partnership couple: non-dependent children,Cohabiting couple: No children,Cohabiting couple: Dependent children,Cohabiting couple: Non-dependent children,Lone parent: dependent children,Lone parent: non-dependent children,Other with dependent children,All other types,
E01000077,Barking and Dagenham,E09000002,599,41,97,24,32,102,47,16,33,6,57,51,58,35,
E01000078,Barking and Dagenham,E09000002,620,43,74,20,37,131,35,13,38,4,82,56,54,33,
E01000079,Barking and Dagenham,E09000002,623,79,98,17,33,111,40,14,34,4,70,45,46,32,
E01000080,Barking and Dagenham,E09000002,611,35,81,17,29,106,40,18,29,12,80,86,50,28,
E01000081,Barking and Dagenham,E09000002,660,51,85,22,35,137,38,22,38,7,65,57,63,40,
E01000082,Barking and Dagenham,E09000002,707,51,118,18,50,125,37,55,29,7,85,48,39,45,
E01000083,Barking and Dagenham,E09000002,628,47,71,15,54,117,26,15,35,5,93,50,57,43,
E01000084,Barking and Dagenham,E09000002,505,46,65,25,24,82,27,11,26,6,63,43,42,45,
E01000085,Barking and Dagenham,E09000002,574,55,84,26,26,84,25,15,41,8,72,47,39,52,
E01000086,Barking and Dagenham,E09000002,487,44,55,15,24,74,41,13,29,4,85,38,38,27,
E01000087,Barking and Dagenham,E09000002,520,39,52,15,24,98,34,11,32,4,68,38,59,46,
E01000088,Barking and Dagenham,E09000002,601,43,78,19,29,120,48,11,28,4,89,34,62,36,
E01000089,Barking and Dagenham,E09000002,600,41,72,22,42,116,37,19,35,3,93,46,43,31,
E01000090,Barking and Dagenham,E09000002,569,35,73,23,34,105,42,12,29,1,77,52,54,32,
E01000091,Barking and Dagenham,E09000002,675,44,130,12,25,143,29,14,33,3,111,35,63,33,
E01000093,Barking and Dagenham,E09000002,671,42,173,12,29,103,22,27,26,4,102,40,40,51,
E01000094,Barking and Dagenham,E09000002,842,12,151,3,45,199,26,39,50,6,168,43,57,43,
E01000095,Barking and Dagenham,E09000002,739,42,98,11,52,156,34,21,59,6,139,31,54,36,
E01000096,Barking and Dagenham,E09000002,487,17,58,11,12,135,15,4,27,1,95,31,45,36,
E01000097,Barking and Dagenham,E09000002,691,109,91,16,44,132,41,13,29,14,80,40,48,34,
E01000098,Barking and Dagenham,E09000002,621,52,96,17,34,138,37,14,34,9,67,33,57,33,
